name,is_neutralizer,toggle_edges,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts,signed_distance_counts
zero_odd_177,False,"[[0, 5], [1, 6], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_178,False,"[[0, 5], [1, 6], [1, 7], [3, 8], [5, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_179,False,"[[0, 5], [1, 6], [1, 7], [3, 8], [10, 14]]",-0.04888888888888889,22,878,0,"{""-2"": 22, ""0"": 878}","{""2"": 210, ""3"": 300, ""4"": 382, ""6"": 8}"
zero_odd_180,False,"[[0, 5], [1, 6], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_181,False,"[[0, 5], [1, 6], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_182,False,"[[0, 5], [1, 6], [2, 3], [2, 7], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_183,False,"[[0, 5], [1, 6], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_184,False,"[[0, 5], [1, 6], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_185,False,"[[0, 5], [1, 6], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_186,False,"[[0, 5], [1, 6], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
